CustomerID,Gender,Married,Age,Graduated,Profession,WorkExperience,SpendingScore,FamilySize,VehicleModel,VehicleType
459293,Male,0,21,0,Healthcare,,Low,4,Santape,Midsize
459296,Male,1,70,1,Artist,0,Average,2,Grandeur,Large
459300,Female,1,61,1,Artist,1,Low,,Santape,Midsize
459307,Male,1,60,1,Entertainment,1,Low,1,Grandeur,Large
459310,Male,0,37,1,Entertainment,0,Low,2,Santape,Midsize
459316,Male,1,30,1,Healthcare,1,Low,2,Santape,Midsize
459318,Female,0,32,1,Engineer,1,Low,3,Casper,Compact
459320,Male,1,26,1,Executive,0,Low,3,Santape,Midsize
459322,Male,0,42,1,Marketing,0,Low,1,Grandeur,Large
459323,Female,0,18,0,Doctor,1,Low,2,i10,Compact
459338,Male,1,80,0,Executive,,Low,2,Grandeur,Large
459339,Male,1,29,1,Healthcare,8,High,2,Santape,Midsize
459344,Female,1,88,1,Artist,1,High,2,Santape,Midsize
459347,Male,1,70,1,Lawyer,1,Low,1,Grandeur,Large
459349,Female,1,50,1,Artist,1,High,4,Santape,Midsize
459352,Male,1,43,1,Doctor,4,Average,4,Grandeur,Large
459353,Male,1,51,1,Artist,6,Average,2,Palisade,Large
459354,Female,1,50,1,Artist,,High,3,Santape,Midsize
459355,Female,1,74,0,Homemaker,,Low,1,Santape,Midsize
459360,Female,0,29,1,Healthcare,,Low,3,i10,Compact
459361,Female,0,32,1,Engineer,,Low,2,Casper,Compact
459362,Male,1,60,0,Executive,0,Low,2,Grandeur,Large
459363,Male,0,46,1,Artist,2,Low,1,Palisade,Large
459364,Female,1,81,1,Marketing,0,Low,2,Santape,Midsize
459369,Male,1,41,0,Engineer,,Average,7,Palisade,Large
459375,Male,1,22,0,Executive,0,High,4,Santape,Midsize
459377,Male,1,37,1,Artist,0,Average,3,Santape,Midsize
459383,Male,1,43,0,Engineer,0,Low,1,Grandeur,Large
459384,Male,1,50,1,Artist,1,Average,3,Grandeur,Large
459385,Female,1,35,1,Artist,1,Average,2,Casper,Compact
459386,Male,1,65,0,Lawyer,1,High,2,Grandeur,Large
459391,Female,0,41,1,Engineer,0,Low,4,Santape,Midsize
459394,Male,0,28,0,Entertainment,8,Low,2,Santape,Midsize
459397,Male,1,55,1,Artist,4,Average,2,Palisade,Large
459398,Female,1,58,0,Lawyer,,High,2,Santape,Midsize
459401,Male,0,28,0,Healthcare,1,Low,3,Santape,Midsize
459403,Male,1,48,1,Artist,,Average,4,Grandeur,Large
459405,Female,1,78,0,Doctor,1,High,2,Santape,Midsize
459407,Female,0,35,1,Doctor,1,Low,3,Casper,Compact
459409,Female,1,76,1,Lawyer,0,High,2,Santape,Midsize
459410,Female,1,88,1,Lawyer,1,High,2,Santape,Midsize
459412,Male,1,61,1,,1,Average,3,Palisade,Large
459413,Female,1,79,1,Artist,,High,2,Santape,Midsize
459415,Male,0,30,0,Doctor,0,Low,4,Santape,Midsize
459418,Male,1,69,0,Executive,0,High,2,Palisade,Large
459419,Male,1,65,1,Doctor,1,Average,2,Grandeur,Large
459420,Female,1,70,1,Lawyer,1,Low,2,Santape,Midsize
459421,Male,1,32,0,Healthcare,0,Average,4,Santape,Midsize
459422,Male,1,46,1,Entertainment,,Low,4,Grandeur,Large
459423,Male,0,21,0,Healthcare,8,Low,5,Santape,Midsize
459424,Male,1,47,1,Doctor,,Low,3,Palisade,Large
459428,Female,0,39,0,Marketing,0,Low,2,Casper,Compact
459432,Male,1,85,1,Lawyer,0,Low,3,Palisade,Large
459436,Female,0,66,1,Artist,0,Low,2,Santape,Midsize
459439,Female,1,50,1,Artist,1,Average,2,Santape,Midsize
459445,Female,1,42,1,Artist,0,Average,3,Santape,Midsize
459447,Male,1,53,1,Artist,9,Low,1,Grandeur,Large
459449,Male,1,37,1,Artist,,Low,2,Santape,Midsize
459451,Female,1,45,1,Artist,1,Low,2,Santape,Midsize
459456,Female,0,66,0,Lawyer,,Low,1,Santape,Midsize
459458,Male,0,33,0,Marketing,,Low,1,Santape,Midsize
459459,Male,1,40,1,Artist,4,Low,1,Grandeur,Large
459461,Female,1,35,1,Artist,1,Low,1,Casper,Compact
459464,Male,0,27,1,Artist,,Low,2,Santape,Midsize
459466,Female,1,48,1,Artist,0,Average,3,Santape,Midsize
459467,Female,1,56,1,Artist,0,Average,2,Santape,Midsize
459469,Male,1,25,1,Healthcare,,Low,6,Santape,Midsize
459471,Female,0,30,0,Artist,,Low,8,i10,Compact
459480,Female,1,46,1,Entertainment,7,Low,3,Santape,Midsize
459481,Male,1,49,0,Lawyer,0,Low,2,Grandeur,Large
459482,Male,1,72,0,Marketing,1,Low,4,Palisade,Large
459485,Female,1,79,1,Lawyer,,High,2,Santape,Midsize
459496,Female,0,35,1,Artist,,Low,3,Casper,Compact
459497,Female,1,77,1,Lawyer,0,Low,1,Santape,Midsize
459499,Female,1,79,0,Lawyer,,High,2,Santape,Midsize
459503,Male,1,42,1,Healthcare,6,High,4,Palisade,Large
459505,Female,0,42,1,Engineer,,Low,1,Santape,Midsize
459507,Male,1,67,0,Lawyer,,High,2,Grandeur,Large
459509,Male,0,26,1,Healthcare,1,Low,1,Santape,Midsize
459512,Male,1,67,1,Lawyer,1,High,2,Grandeur,Large
459515,Male,1,55,1,Engineer,1,Low,1,Grandeur,Large
459516,Female,1,56,1,Artist,,Average,2,Santape,Midsize
459518,Male,1,63,1,Artist,,Average,4,Grandeur,Large
459535,Male,1,46,1,Artist,8,Average,2,Palisade,Large
459536,Male,1,32,1,Healthcare,7,Low,2,Santape,Midsize
459538,Female,0,49,1,Homemaker,13,Low,1,Santape,Midsize
459541,Male,1,59,1,Artist,1,High,2,Grandeur,Large
459549,Male,0,22,0,Healthcare,8,Low,5,Santape,Midsize
459555,Female,0,28,1,Artist,8,Low,1,Casper,Compact
459558,Male,0,28,1,Entertainment,1,Low,3,Santape,Midsize
459564,Male,1,75,1,Lawyer,2,Low,1,Grandeur,Large
459566,Female,1,37,1,Artist,13,Low,2,Casper,Compact
459567,Male,1,50,1,Doctor,0,Average,2,Grandeur,Large
459571,Female,1,50,1,Executive,1,High,4,Santape,Midsize
459576,Female,1,88,0,Lawyer,,Low,,Santape,Midsize
459579,Female,1,35,1,Artist,3,Average,5,Casper,Compact
459581,Female,0,35,0,Lawyer,,Low,,Palisade,Large
459582,Male,1,31,0,Entertainment,,Average,3,Santape,Midsize
459583,Male,1,46,1,Artist,0,Low,1,Grandeur,Large
459585,Female,1,50,1,Artist,1,Average,4,Santape,Midsize
459587,Female,0,33,1,Artist,7,Low,3,i10,Compact
459588,Male,1,49,1,Artist,0,Low,1,Grandeur,Large
459591,Male,1,52,1,Artist,1,Average,3,Palisade,Large
459592,Male,0,25,0,Healthcare,0,Low,3,Santape,Midsize
459594,Female,1,41,1,Artist,6,Low,1,Santape,Midsize
459597,Female,1,68,1,Artist,0,High,2,Santape,Midsize
459603,Female,1,79,0,Lawyer,2,High,2,Santape,Midsize
459607,Male,1,40,1,Entertainment,5,Average,5,Grandeur,Large
459608,Female,0,62,1,Doctor,,Low,1,Santape,Midsize
459612,Male,0,21,0,Healthcare,,Low,2,Santape,Midsize
459616,Female,0,20,0,Healthcare,,Low,4,Casper,Compact
459617,Male,0,28,1,Entertainment,1,Low,5,Santape,Midsize
459618,Male,1,57,1,Doctor,0,Average,2,Palisade,Large
459621,Female,0,25,0,Healthcare,8,Low,,Casper,Compact
459625,Female,1,63,0,Engineer,8,Low,1,Santape,Midsize
459626,Female,1,26,0,Entertainment,1,Low,3,i10,Compact
459632,Female,1,50,0,Marketing,0,High,3,Santape,Midsize
459644,Female,0,30,0,Marketing,9,Low,4,Casper,Compact
459652,Female,0,26,0,Engineer,,Low,4,Casper,Compact
459658,Male,1,61,1,Artist,1,Average,3,Palisade,Large
459664,Male,0,42,1,Artist,3,Low,1,Palisade,Large
459665,Male,1,88,1,Artist,4,Low,2,Grandeur,Large
459672,Male,1,45,0,Artist,3,Average,3,Grandeur,Large
459673,Female,1,86,1,Lawyer,1,Low,1,Santape,Midsize
459678,Male,0,18,0,Healthcare,1,Low,5,Casper,Compact
459680,Male,0,37,1,Entertainment,,Low,1,Santape,Midsize
459686,Male,1,46,1,Artist,1,Low,1,Palisade,Large
459691,Male,1,58,0,Artist,,Average,2,Palisade,Large
459692,Female,1,72,1,Lawyer,8,High,2,Santape,Midsize
459693,Female,1,50,1,Artist,0,High,3,Santape,Midsize
459699,Female,,56,1,Engineer,8,Average,3,Santape,Midsize
459701,Male,0,46,0,Artist,3,Low,3,Grandeur,Large
459710,Male,1,57,1,Artist,,Low,1,Grandeur,Large
459711,Male,1,42,0,Executive,9,High,6,Palisade,Large
459712,Male,0,20,0,Healthcare,,Low,4,Santape,Midsize
459713,Male,0,19,0,Healthcare,1,Low,3,Casper,Compact
459715,Male,0,19,0,Healthcare,4,Low,4,i10,Compact
459718,Male,1,68,1,Executive,1,Low,1,Palisade,Large
459725,Female,1,40,1,Artist,0,Low,2,Santape,Midsize
459727,Male,1,82,0,Lawyer,,High,2,Grandeur,Large
459740,Female,0,23,0,Healthcare,1,Low,3,Casper,Compact
459742,Female,1,84,0,Lawyer,1,High,2,Santape,Midsize
459745,Male,1,51,0,Artist,0,Low,4,Palisade,Large
459746,Male,,59,1,Artist,1,Average,2,Grandeur,Large
459747,Female,1,41,1,Artist,1,Average,5,Santape,Midsize
459748,Male,1,51,0,Executive,1,High,2,Palisade,Large
459755,Female,1,62,0,Artist,,Average,3,Santape,Midsize
459756,Female,1,62,0,Lawyer,1,High,4,Santape,Midsize
459760,Female,1,38,1,Artist,8,Low,1,Casper,Compact
459763,Male,0,18,0,Artist,1,Low,4,Casper,Compact
459767,Male,0,22,0,Healthcare,3,Low,4,Santape,Midsize
459771,Female,,30,1,Doctor,0,Low,3,Casper,Compact
459779,Female,1,62,1,Entertainment,1,Low,1,Santape,Midsize
459780,Female,0,43,0,Entertainment,1,Low,3,Santape,Midsize
459785,Female,0,32,1,Engineer,,Low,1,Casper,Compact
459793,Male,1,37,1,Artist,1,High,,Santape,Midsize
459795,Male,0,48,1,Artist,1,Low,1,Grandeur,Large
459801,Female,0,31,1,Engineer,4,Low,2,i10,Compact
459804,Male,1,46,0,Artist,4,High,4,Palisade,Large
459806,Female,1,49,0,Engineer,1,Average,4,Santape,Midsize
459808,Male,1,43,0,Doctor,,Average,4,Grandeur,Large
459815,Male,0,42,1,Artist,8,Low,1,Grandeur,Large
459816,Male,1,37,1,Doctor,,Low,2,Santape,Midsize
459819,Male,1,72,1,Entertainment,,High,2,Grandeur,Large
459821,Male,0,71,0,Executive,,High,1,Grandeur,Large
459822,Female,0,39,1,Engineer,1,Low,1,Casper,Compact
459825,Male,0,20,0,Healthcare,0,Low,5,Santape,Midsize
459827,Female,0,26,0,,,Low,1,Casper,Compact
459832,Male,1,72,1,Executive,1,Low,1,Palisade,Large
459845,Male,1,70,1,Healthcare,0,Low,1,Grandeur,Large
459851,Male,0,45,1,Artist,2,Low,1,Grandeur,Large
459853,Male,0,33,0,Executive,7,Low,5,Santape,Midsize
459856,Male,1,50,0,Entertainment,0,Average,3,Palisade,Large
459857,Male,0,31,1,Entertainment,6,Low,1,Santape,Midsize
459861,Female,1,74,0,Lawyer,1,High,2,Santape,Midsize
459864,Female,1,68,0,Artist,,High,2,Santape,Midsize
459866,Female,0,49,1,Artist,,Low,1,Santape,Midsize
459867,Male,1,49,1,Marketing,0,High,2,Grandeur,Large
459869,Female,0,18,0,Healthcare,1,Low,3,Casper,Compact
459871,Female,1,85,0,Entertainment,2,Average,2,Santape,Midsize
459885,Female,0,38,1,Entertainment,,Low,4,i10,Compact
459886,Male,1,28,0,Artist,0,Low,4,Santape,Midsize
459887,Male,1,46,0,Artist,3,Average,2,Palisade,Large
459889,Male,1,59,1,Homemaker,9,Average,3,Palisade,Large
459897,Female,1,56,1,Artist,0,Low,2,Santape,Midsize
459909,Male,1,69,1,Artist,0,Low,1,Grandeur,Large
459910,Male,1,66,1,Artist,0,Low,2,Grandeur,Large
459911,Male,0,18,0,Healthcare,4,Low,6,Casper,Compact
459914,Male,0,36,1,Artist,4,Low,1,Santape,Midsize
459923,Male,0,31,1,Marketing,1,Low,2,Santape,Midsize
459925,Male,1,67,0,Executive,1,High,2,Palisade,Large
459937,Female,0,39,1,Artist,7,Low,1,Casper,Compact
459943,Male,0,42,1,Entertainment,4,Low,3,Grandeur,Large
459945,Male,1,50,1,Artist,0,Low,2,Grandeur,Large
459946,Female,1,37,1,Artist,0,Average,2,Casper,Compact
459949,Female,0,59,1,Artist,0,Low,1,Santape,Midsize
459953,Male,1,50,1,Artist,8,Low,2,Grandeur,Large
459961,Male,1,48,1,Artist,8,Low,3,Grandeur,Large
459962,Male,1,55,1,Artist,9,Low,1,Grandeur,Large
459966,Female,0,33,1,Doctor,1,Low,3,Palisade,Large
459968,Male,0,38,1,Artist,13,Low,1,Santape,Midsize
459970,Male,0,43,1,Artist,0,Low,2,Grandeur,Large
459973,Female,0,53,1,Artist,0,Low,2,Santape,Midsize
459974,Male,0,37,1,Entertainment,0,Low,1,Santape,Midsize
459975,Female,0,36,1,Artist,5,Low,1,Casper,Compact
459981,Male,0,36,1,Artist,5,Low,1,Santape,Midsize
459986,Male,1,62,1,Artist,1,Low,1,Palisade,Large
459995,Female,0,38,0,Artist,2,Low,2,Grandeur,Large
459996,Male,0,55,1,Entertainment,1,Low,1,Grandeur,Large
459998,Male,1,60,0,Entertainment,1,Average,2,Grandeur,Large
460004,Female,1,36,1,Entertainment,7,Average,2,Casper,Compact
460006,Male,0,30,0,Entertainment,5,Low,9,Santape,Midsize
460014,Female,0,66,0,Entertainment,4,Low,3,Santape,Midsize
460023,Male,1,45,1,Entertainment,1,Low,1,Grandeur,Large
460027,Female,0,40,1,Entertainment,6,Low,,Santape,Midsize
460033,Female,,45,1,Entertainment,5,Low,3,Santape,Midsize
460036,Male,1,41,1,,2,Low,1,Grandeur,Large
460040,Female,1,62,1,Homemaker,4,Low,1,Santape,Midsize
460045,Male,1,61,1,Artist,1,Low,2,Grandeur,Large
460046,Female,1,50,1,Artist,4,Low,2,Tucson,Midsize
460050,Male,1,53,1,Entertainment,3,Low,2,Grandeur,Large
460051,Male,0,39,1,Artist,7,Low,1,Sonata,Midsize
460052,Female,0,86,1,Lawyer,0,Low,1,Tucson,Midsize
460058,Male,1,50,1,Artist,1,Low,1,Grandeur,Large
460059,Female,0,46,0,Entertainment,4,Low,,Tucson,Midsize
460061,Male,0,52,1,Marketing,0,Low,1,Palisade,Large
460066,Female,0,45,0,Marketing,0,Low,1,Tucson,Midsize
460068,Female,0,37,1,Artist,9,Low,1,Casper,Compact
460073,Female,1,36,1,Engineer,3,Low,1,i10,Compact
460075,Female,0,25,1,Artist,,Low,1,Tucson,Midsize
460079,Female,0,40,0,Doctor,1,Low,1,Tucson,Midsize
460081,Male,1,41,1,Artist,11,High,2,Grandeur,Large
460088,Female,1,25,1,Homemaker,,High,2,Casper,Compact
460090,Male,1,80,0,Lawyer,4,Average,2,Grandeur,Large
460093,Female,0,46,1,Artist,3,Low,1,Tucson,Midsize
460095,Female,1,81,1,Lawyer,1,Low,1,Sonata,Midsize
460097,Male,,40,1,Artist,0,Low,2,Palisade,Large
460099,Male,0,49,1,,1,Low,1,Palisade,Large
460101,Female,0,26,1,Healthcare,8,Low,3,Casper,Compact
460103,Male,0,26,1,Artist,1,Low,1,Tucson,Midsize
460105,Female,0,47,1,Artist,0,Low,1,Tucson,Midsize
460106,Female,1,71,1,Entertainment,0,Low,,Tucson,Midsize
460107,Male,1,48,1,Engineer,1,Average,5,Palisade,Large
460108,Male,1,39,1,Artist,1,Average,3,Sonata,Midsize
460109,Male,1,50,1,Artist,8,Average,2,Grandeur,Large
460110,Female,0,46,1,Artist,1,Low,2,Tucson,Midsize
460112,Male,1,26,1,Engineer,8,Average,2,Sonata,Midsize
460116,Female,1,42,1,,1,Low,2,Tucson,Midsize
460118,Female,1,36,1,Artist,4,Low,2,Grandeur,Large
460119,Male,0,29,1,Healthcare,1,Low,4,Tucson,Midsize
460122,Female,0,39,0,Artist,1,Low,1,Casper,Compact
460124,Female,0,41,1,Artist,0,Low,3,Sonata,Midsize
460126,Female,1,48,1,Marketing,8,Low,,Tucson,Midsize
460134,Male,1,40,1,Entertainment,9,High,3,Grandeur,Large
460135,Female,0,25,1,Healthcare,4,Low,3,Casper,Compact
460140,Female,1,41,1,Artist,7,Low,2,Tucson,Midsize
460141,Male,0,37,1,Artist,11,Low,1,Tucson,Midsize
460144,Female,0,53,1,Doctor,0,Low,,Sonata,Midsize
460146,Female,1,51,1,Engineer,0,Average,3,Sonata,Midsize
460147,Male,1,73,1,Entertainment,1,Average,3,Palisade,Large
460157,Male,1,61,0,,1,Low,5,Grandeur,Large
460160,Male,0,39,1,Entertainment,5,Low,1,Sonata,Midsize
460162,Female,0,19,0,Healthcare,0,Low,4,Casper,Compact
460166,Female,0,19,0,Healthcare,0,Low,7,i10,Compact
460167,Female,0,23,0,Entertainment,1,Low,5,Casper,Compact
460168,Male,1,83,1,Executive,0,High,2,Sonata,Midsize
460171,Female,1,62,1,Artist,1,High,2,Sonata,Midsize
460174,Female,0,43,1,Artist,9,Low,4,Sonata,Midsize
460175,Female,0,27,0,Artist,0,Low,5,Grandeur,Large
460177,Male,0,50,1,Artist,0,Low,1,Grandeur,Large
460179,Female,0,23,0,Entertainment,0,Low,6,Palisade,Large
460183,Male,0,35,0,Entertainment,9,Low,2,Tucson,Midsize
460185,Male,0,32,0,Healthcare,9,Low,3,Tucson,Midsize
460187,Female,0,42,1,Doctor,2,Low,3,Tucson,Midsize
460189,Male,0,33,0,Entertainment,13,Low,1,Tucson,Midsize
460190,Female,0,28,1,Entertainment,9,Low,3,Casper,Compact
460192,Male,1,35,1,,1,Low,2,Tucson,Midsize
460196,Female,0,35,1,Healthcare,9,Low,2,Casper,Compact
460206,Female,1,39,1,Entertainment,0,Low,2,i10,Compact
460211,Male,1,28,,Artist,6,Low,1,Tucson,Midsize
460212,Male,1,35,1,Entertainment,11,Low,6,Tucson,Midsize
460214,Female,1,45,1,Engineer,0,Average,2,Tucson,Midsize
460222,Female,,73,1,Lawyer,4,High,,Sonata,Midsize
460223,Male,0,52,0,Entertainment,1,Low,1,Grandeur,Large
460227,Male,0,28,0,Healthcare,0,Low,3,Tucson,Midsize
460242,Male,1,38,1,Healthcare,9,Low,3,Tucson,Midsize
460243,Female,0,42,1,Entertainment,8,Low,1,Tucson,Midsize
460247,Female,0,26,0,Doctor,9,Low,,Casper,Compact
460248,Female,0,27,1,Healthcare,7,Low,2,i10,Compact
460252,Male,1,41,1,Artist,0,Low,2,Grandeur,Large
460263,Male,1,41,1,Artist,1,Low,2,Grandeur,Large
460265,Male,1,47,1,Executive,0,High,4,Palisade,Large
460270,Male,0,35,1,Doctor,8,Low,1,Sonata,Midsize
460272,Female,0,88,1,Lawyer,0,Low,1,Tucson,Midsize
460275,Female,0,46,1,Artist,6,Low,1,Tucson,Midsize
460276,Female,1,41,1,Artist,3,Low,2,Tucson,Midsize
460281,Female,0,30,1,Doctor,10,Low,5,Grandeur,Large
460283,Male,1,43,1,Doctor,12,Low,2,Grandeur,Large
460284,Female,0,29,1,Entertainment,9,Low,2,Casper,Compact
460287,Male,1,48,1,Artist,1,Low,1,Grandeur,Large
460289,Female,1,61,1,Artist,4,Average,6,Tucson,Midsize
460298,Female,0,51,1,Lawyer,2,Low,1,Sonata,Midsize
460303,Female,0,38,1,Artist,2,Low,1,Casper,Compact
460305,Female,,49,1,Entertainment,0,High,1,Tucson,Midsize
460306,Female,0,43,1,Healthcare,9,Low,1,Tucson,Midsize
460310,Male,0,27,0,Healthcare,14,Low,4,Tucson,Midsize
460315,Female,0,35,0,Doctor,14,Low,6,Casper,Compact
460319,Female,1,39,0,Doctor,4,Average,2,Casper,Compact
460322,Female,1,52,0,Engineer,9,Low,,Tucson,Midsize
460323,Female,0,38,1,Engineer,10,Low,1,Casper,Compact
460324,Female,0,30,1,Entertainment,12,Low,2,Grandeur,Large
460327,Female,0,43,1,Artist,10,Low,1,Tucson,Midsize
460333,Female,0,42,0,Entertainment,10,Low,4,Sonata,Midsize
460336,Female,0,46,1,Artist,2,Low,1,Tucson,Midsize
460340,Female,0,47,1,Artist,11,Low,2,Tucson,Midsize
460341,Female,0,32,0,Entertainment,13,Low,5,i10,Compact
460344,Female,1,53,1,Artist,11,Average,2,Tucson,Midsize
460346,Female,1,43,1,Artist,12,Average,,Tucson,Midsize
460348,Female,0,39,1,Artist,0,Low,2,Casper,Compact
460349,Male,,42,1,Artist,3,Average,2,Palisade,Large
460354,Female,0,37,1,Artist,3,Low,1,Casper,Compact
460356,Male,0,19,0,Healthcare,0,Low,4,i10,Compact
460358,Male,0,30,0,Marketing,1,Low,1,Tucson,Midsize
460361,Female,1,49,1,Artist,0,Low,1,Tucson,Midsize
460362,Male,1,55,1,Healthcare,0,Low,3,Grandeur,Large
460365,Female,1,59,1,Doctor,1,Low,2,Tucson,Midsize
460369,Female,1,46,1,Artist,,Low,2,Tucson,Midsize
460370,Female,1,27,1,Executive,9,High,2,i10,Compact
460371,Female,0,25,1,Artist,1,Low,2,Casper,Compact
460378,Female,0,37,1,Doctor,1,Low,1,Grandeur,Large
460379,Male,0,38,1,Artist,9,Low,3,Tucson,Midsize
460380,Male,0,29,1,Entertainment,9,Low,3,Tucson,Midsize
